target,text,clean_text
NEGATIVE,revising ,revising 
NEGATIVE,What Shaina said ,What Shaina said 
NEGATIVE,my dread was validated... today was horrible ,my dread was validated today was horrible 
NEGATIVE,I wanna buy so much  things are so nice at this mall.,I wanna buy so much things are so nice at this mall
NEGATIVE,@SoundBwoyFast Gloomy as ever. I wanted to hit the beach too.  might as well get like you and handle my errands too lol,SoundBwoyFast Gloomy as ever I wanted to hit the beach too might as well get like you and handle my errands too lol
NEGATIVE,awesome try!!! mitchell's poor head ,awesome try mitchells poor head 
POSITIVE,Had a very good pasta dinner. Need some carbs for the race tomorrow ,Had a very good pasta dinner Need some carbs for the race tomorrow 
POSITIVE,listening 2 beautiful by Akon CHICKS RULE..... ,listening beautiful by Akon CHICKS RULE 
NEGATIVE,Tweeting in class. Getting bored of revision. But my knowledge is still very shallow. ,Tweeting in class Getting bored of revision But my knowledge is still very shallow 
POSITIVE,Heading to dena's party. ,Heading to denas party 
NEGATIVE,shit! drawer hit my left thumb ,shit drawer hit my left thumb 
POSITIVE,Alex and Kim are coming over soon for dinner to talk about trip down to LA.  Watching Conan till then! ,Alex and Kim are coming over soon for dinner to talk about trip down to LA Watching Conan till then 
POSITIVE,@cmcadams Thanks for the suggestion for Tyler's burger recipe. ,cmcadams Thanks for the suggestion for Tylers burger recipe 
NEGATIVE,@ashleighdodgson and you didnt text me back ,ashleighdodgson and you didnt text me back 
POSITIVE,"Just back from the Jonas Brothers 3D concert at the cinema! It was so good, I love them so much! ",Just back from the Jonas Brothers concert at the cinema It was so good I love them so much 
NEGATIVE,Alright...I already miss Wifi Toggle concerning 3.0 ,AlrightI already miss Wifi Toggle concerning 
POSITIVE,@Pandabeara well wooptie de doo - chips and soda is $$$$ too    Junkfood junkie,Pandabeara well wooptie de doo chips and soda is too Junkfood junkie
POSITIVE,@davidfarrier was that chang I saw on min.3.42 ? looks like you'll blend in well David ,davidfarrier was that chang I saw on min looks like youll blend in well David 
NEGATIVE,Tar: &quot;Guinan WTF?&quot; Guinan: &quot;Not belong. Lame death. Epic Fail.&quot; Yar: &quot;Not Like  &quot;,Tar quotGuinan WTFquot Guinan quotNot belong Lame death Epic Failquot Yar quotNot Like quot
POSITIVE,@crucifire Bas yaar lazy saturday chal rahaa hai... still on my bed... under the covers.. Lunch invite @ 1:00 wil be leaving soon ,crucifire Bas yaar lazy saturday chal rahaa hai still on my bed under the covers Lunch invite wil be leaving soon 
POSITIVE,@reflective I hope she is feeling better quickly...will pray for her! ,reflective I hope she is feeling better quicklywill pray for her 
POSITIVE,Listening to Kate Voegele. She is great in OTH. And yes...I'm very bored at the moment ,Listening to Kate Voegele She is great in OTH And yesIm very bored at the moment 
POSITIVE,@selenagomez http://twitpic.com/3knsj - Follow meeeeee ,selenagomez httptwitpiccom Follow meeeeee 
NEGATIVE,"Quiero ver Transformers 2, The Proposal y Up ",Quiero ver Transformers The Proposal y Up 
POSITIVE,@SuppaKid YESSSS I do!!! It's awesome! I love everything about it... ,SuppaKid YESSSS I do Its awesome I love everything about it 
NEGATIVE,I hate exams - especially when they mean I canât go see Passion Pit  http://tumblr.com/x8t1ykjlq,I hate exams especially when they mean I canât go see Passion Pit httptumblrcom
POSITIVE,Physics exam - Done!  Waiting for results... I am happy  I WANT TO RECORD PODCAST! ,Physics exam Done Waiting for results I am happy I WANT TO RECORD PODCAST 
POSITIVE,eating gold fish :0 Yummy ,eating gold fish Yummy 
POSITIVE,restaurant citying on a saturday night ,restaurant citying on a saturday night 
NEGATIVE,"Pub Crawl was a total win! Night finished off at 322 with the most amazing drag performance ever! Shit was epic. Also, April was amazing. ",Pub Crawl was a total win Night finished off at with the most amazing drag performance ever Shit was epic Also April was amazing 
NEGATIVE,"@oficialkellykey kelly, cliquei no link do seu orkut, e nao apareceu ",oficialkellykey kelly cliquei no link do seu orkut e nao apareceu 
NEGATIVE,"@joejackoff sorry about that, kiddo  ",joejackoff sorry about that kiddo 
NEGATIVE,Pretty much lost my voice.  ,Pretty much lost my voice 
NEGATIVE,my blackberry isn't still here...  I want it so bad!!!,my blackberry isnt still here I want it so bad
NEGATIVE,Gonna watch David Cook &quot;Cookie&quot; tonight. I'm already hearing it's sad. ,Gonna watch David Cook quotCookiequot tonight Im already hearing its sad 
NEGATIVE,Just about to get on the plane ,Just about to get on the plane 
NEGATIVE,@efan78 your link is broken  *sobs*, your link is broken sobs
NEGATIVE,"at work STILL. Always love coming home from vacation to over a 1,000 emails (mostly from work people). Ridiculous ",at work STILL Always love coming home from vacation to over a emails mostly from work people Ridiculous 
NEGATIVE,"Argh... I am not feeling that well today, and my new look with the social site been canceled ",Argh I am not feeling that well today and my new look with the social site been canceled 
NEGATIVE,@sunreon I am going to cry forever when they cut it down. I thought we had months left to prepare and be ready to basically move first. ,sunreon I am going to cry forever when they cut it down I thought we had months left to prepare and be ready to basically move first 
NEGATIVE,omgg i don't understand this twitter thing ,omgg i dont understand this twitter thing 
POSITIVE,My dad is coming back home!! YIEY!!  ,My dad is coming back home YIEY 
POSITIVE,"@aramisette I demanded a theme!  Well, basically I am just not very creative tonight.    It's all @PinkFluffGirl with the creativity!",aramisette I demanded a theme Well basically I am just not very creative tonight Its all PinkFluffGirl with the creativity
NEGATIVE,"@Cryophile LOLYOU.  But that's a good thing at least, right? No having to sleep out in the rain.",Cryophile LOLYOU But thats a good thing at least right No having to sleep out in the rain
POSITIVE,"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on ",Not to worry noone got that one Next question starts in minute get your thinking caps on 
POSITIVE,"@madnilk a, gotcha! well, i have no idea how many malaysians are on our list - but don't think there are many ",madnilk a gotcha well i have no idea how many malaysians are on our list but dont think there are many 
NEGATIVE,@beauttweet  Awwe otays... no GW on tonight ,beauttweet Awwe otays no GW on tonight 
NEGATIVE,"Time to get iPhone OS 3.0, but I gotta update iTunes first ",Time to get iPhone OS but I gotta update iTunes first 
POSITIVE,Sitting in my trailer!  watchm youtue vids!,Sitting in my trailer watchm youtue vids
POSITIVE,@Hopexo well go get your toothbrush and get it off then ,Hopexo well go get your toothbrush and get it off then 
POSITIVE,@thespinlight Hey Ciara. ,thespinlight Hey Ciara 
NEGATIVE,@revHardware I'm only here for 4 days  boo,revHardware Im only here for days boo
NEGATIVE,ouch.. ive just managed to hit my eat off a cupboard door.. argh ,ouch ive just managed to hit my eat off a cupboard door argh 
NEGATIVE,it so not happy it's raining on a bank holiday ,it so not happy its raining on a bank holiday 
NEGATIVE,http://twitpic.com/7pc64 - missin' all my girls ,httptwitpiccom missin all my girls 
POSITIVE,http://twitpic.com/5d2dg - Ollie holding willow ,httptwitpiccom Ollie holding willow 
POSITIVE,is missing her puppy and also glad school is over for the week ,is missing her puppy and also glad school is over for the week 
NEGATIVE,Long day today ..... ,Long day today 
POSITIVE,Awake and headed to school. Should be a good day. ,Awake and headed to school Should be a good day 
NEGATIVE,scratch that it's kids sizes... i don't fit that anymore ,scratch that its kids sizes i dont fit that anymore 
NEGATIVE,"Jogging, isn't REALLY that cool, especially if you've got a high fever ",Jogging isnt REALLY that cool especially if youve got a high fever 
POSITIVE,The Uninvited  yÃ¤y yÃ¤y our film Amelia  I watch this film  And The Dissapeared &amp;&amp; Harry Potter 6 !!! YÃ¤y Blaise !!! &lt;333,The Uninvited yÃ¤y yÃ¤y our film Amelia I watch this film And The Dissapeared ampamp Harry Potter YÃ¤y Blaise lt
POSITIVE,@LesM I'll be at the #yeg #web meetup.   (via @Taite11),LesM Ill be at the yeg web meetup via 
POSITIVE,aha...sorry...na ein Nick  afronum is halt afronum ;) www.afronum.com,ahasorryna ein Nick afronum is halt afronum wwwafronumcom
NEGATIVE,"My fish, charles darnay, died. ",My fish charles darnay died 
NEGATIVE,been 2 bridlington n scarborough 2day!!!   lovely sunshine but made my sunburn from yesterday even worse!!! ,been bridlington n scarborough lovely sunshine but made my sunburn from yesterday even worse 
POSITIVE,"@kingsthings I see your following growing quickly,,,, do you feel &quot;cooler&quot; yet? YOU ARE NOW!  Isn't the whole thing amazing? ",kingsthings I see your following growing quickly do you feel quotcoolerquot yet YOU ARE NOW Isnt the whole thing amazing 
NEGATIVE,@glorialynnglass fluish  but still putting along  How are you?,glorialynnglass fluish but still putting along How are you
NEGATIVE,lewis seems to have a problem but so does kimi - raikkonen lets massa through so he must have an engine problem ,lewis seems to have a problem but so does kimi raikkonen lets massa through so he must have an engine problem 
POSITIVE,good morning ,good morning 
POSITIVE,@phoenixpwns Re-Tweet! It's when you re-post something someone else Tweeted about! ,phoenixpwns ReTweet Its when you repost something someone else Tweeted about 
POSITIVE,"@StarsGoDim Haha yes I like tea, though I only got into it around last December. &quot;teatime&quot; is also a play on my name - first initial is T ",StarsGoDim Haha yes I like tea though I only got into it around last December quotteatimequot is also a play on my name first initial is T 
NEGATIVE,@freddyb87 heeey boo , heeey boo 
POSITIVE,@craftyGAgal Yes I am ,craftyGAgal Yes I am 
NEGATIVE,@danecook Pissed I missed your B-More show.  Brian was going to front the tickets but had to go back to Cali for pilots...how sad I am ,danecook Pissed I missed your BMore show Brian was going to front the tickets but had to go back to Cali for pilotshow sad I am 
NEGATIVE,hmm.. wonder y i can't send msgs and can't call.. ,hmm wonder y i cant send msgs and cant call 
NEGATIVE,The new MK video has been &quot;processing&quot; on YT for the last 2 hrs.   I've had it!  Someone let me know when YouTube actually works again ,The new MK video has been quotprocessingquot on YT for the last hrs Ive had it Someone let me know when YouTube actually works again 
POSITIVE,Woop Woop!! It's Sunday already!!! Emirates stadium (read: free bar)... here we come!!! Viva la Perry!!! ,Woop Woop Its Sunday already Emirates stadium read free bar here we come Viva la Perry 
POSITIVE,Back in West Virginia heading to Maryland in 91 miles ,Back in West Virginia heading to Maryland in miles 
NEGATIVE,Went on a bike ride with my dog..........and got blisters on my hands. ,Went on a bike ride with my dogand got blisters on my hands 
POSITIVE,@valeriestelcel Val!!!  thank you... what brought you to such a conclusion?,valeriestelcel Val thank you what brought you to such a conclusion
NEGATIVE,No one left a light on for me at home ,No one left a light on for me at home 
NEGATIVE,GAH! Failed download! ,GAH Failed download 
POSITIVE,Sry ppls listenin to good music in a good mood want to share it wit y'all ,Sry ppls listenin to good music in a good mood want to share it wit yall 
POSITIVE,@etilia Thank you ,etilia Thank you 
NEGATIVE,@jetsetbritt shoulda come see me ,jetsetbritt shoulda come see me 
POSITIVE,"Ohhhh, mind apples - click. Chilling with friends, drinking with friends, laughing, talking, learning, secrets, writing,    Lovely...",Ohhhh mind apples click Chilling with friends drinking with friends laughing talking learning secrets writing Lovely
POSITIVE,@sc4twit TOAST! , TOAST 
POSITIVE,Gettin my nails did ,Gettin my nails did 
POSITIVE,@jmiddlin cupcake camp?  sounds like fun!!  ,jmiddlin cupcake camp sounds like fun 
NEGATIVE,Whyyyyyyy ,Whyyyyyyy 
NEGATIVE,Sanjaya went home  AND TORI IS STAYING WTF!!,Sanjaya went home AND TORI IS STAYING WTF
POSITIVE,"lying outside in the sun, oh i am loving this weather ",lying outside in the sun oh i am loving this weather 
POSITIVE,"Join me &amp; twitter friends, July 11th Hyde Park for a TwitPicnic  see http://bit.ly/twitpicnic for info. Oh &amp; RETWEET!",Join me amp twitter friends July Hyde Park for a TwitPicnic see httpbitlytwitpicnic for info Oh amp RETWEET
POSITIVE,"@snedwan Done, don't block me ",snedwan Done dont block me 
POSITIVE,@LuvD143 heya... just thought I would follow you..  anyways..tkae ur meds..i think ppl are falling ill lately... daniel as well right?, heya just thought I would follow you anywaystkae ur medsi think ppl are falling ill lately daniel as well right
POSITIVE,a sunny day brights up the day! ,a sunny day brights up the day 
NEGATIVE,3pm and its only 9  @PhillyGotBarz, and its only PhillyGotBarz
NEGATIVE,@dimitori OS 3.0 is cool but I feel use more battery power... ,dimitori OS is cool but I feel use more battery power 
NEGATIVE,"@bcswartz Pffff, we got cfimap... there's probabbly gonna wait till San Fran to release CFWoman ",bcswartz Pffff we got cfimap theres probabbly gonna wait till San Fran to release CFWoman 
POSITIVE,@FashionKristin who won????? I'm very curious ,FashionKristin who won Im very curious 
NEGATIVE,i wish sunday was over already grrrr   almost monday yay! ,i wish sunday was over already grrrr almost monday yay 
NEGATIVE,Wants jimmy johns.... ,Wants jimmy johns 
NEGATIVE,@MrBenzedrine i saw that trailer a few days ago. i think ill be let down by this film  read the synopsis on wiki &amp; theyve changed looooads,MrBenzedrine i saw that trailer a few days ago i think ill be let down by this film read the synopsis on wiki amp theyve changed looooads
NEGATIVE,I miss US ,I miss US 
POSITIVE,snow snow snow snow snow snow snow snow snow yay snow snow snow snow snow snow snow snow snow  snooooooooow   ,snow snow snow snow snow snow snow snow snow yay snow snow snow snow snow snow snow snow snow snooooooooow 
POSITIVE,@book_mom It's trying to. At least it's not supposed to rain today. ,bookmom Its trying to At least its not supposed to rain today 
NEGATIVE,"haha saturday wasnt as bad as i thout it was gonna b, but i still dnt hav any clear answers ",haha saturday wasnt as bad as i thout it was gonna b but i still dnt hav any clear answers 
POSITIVE,"@k00ts nice try, but you don't get a reward for that...haha..i'll reserve that for the last week of the month, ok? ", nice try but you dont get a reward for thathahaill reserve that for the last week of the month ok 
POSITIVE,@MarikoMae I know and there chubby and adorable ,MarikoMae I know and there chubby and adorable 
NEGATIVE,"@ThisStarChild I'm a sod  *sniff* only trying to pleasure, sorry please you m'lady :-O oh no he didn't",ThisStarChild Im a sod sniff only trying to pleasure sorry please you mlady O oh no he didnt
NEGATIVE,today is the salon's last day...  there are no words,today is the salons last day there are no words
NEGATIVE,  not a cool night., not a cool night
POSITIVE,aniikaaa welome in the world of twitter ,aniikaaa welome in the world of twitter 
NEGATIVE,So is that our Summer over then? Bucketing down out there and i had to trek to Post Office ,So is that our Summer over then Bucketing down out there and i had to trek to Post Office 
NEGATIVE,full... from poboys... staying out of this 100 degree weather. i wish the pool was clean ,full from poboys staying out of this degree weather i wish the pool was clean 
POSITIVE,@samoussa87 haha. Good to know , haha Good to know 
NEGATIVE,is watching denver get whooped by the lakers.....putting my boy to bed wishing I was out with my friends ,is watching denver get whooped by the lakersputting my boy to bed wishing I was out with my friends 
NEGATIVE,I'm about to watch the final episode of The Tonight Show With Jay Leno. and my phone's off until 3ish tomorrow ,Im about to watch the final episode of The Tonight Show With Jay Leno and my phones off until tomorrow 
POSITIVE,@ojmason I always though a dry delivery was something to aspire to! Well done (and thanks for birthday wishes!) ,ojmason I always though a dry delivery was something to aspire to Well done and thanks for birthday wishes 
NEGATIVE,"@MaryPutty Oh yeah, potatoes I can get! I have quite a few friends with open pantries. I can hardly ever find what I need, though ",MaryPutty Oh yeah potatoes I can get I have quite a few friends with open pantries I can hardly ever find what I need though 
POSITIVE,@blackbarbie027 lmao! I'm glad I'm not the only one , lmao Im glad Im not the only one 
NEGATIVE,"@rustyrockets We could start our own earthquake if you like? Haha. Come back, I was in bed when you came on earlier  kisskiss xxxxxxx",rustyrockets We could start our own earthquake if you like Haha Come back I was in bed when you came on earlier kisskiss xxxxxxx
NEGATIVE,is really depressed because it is raining ,is really depressed because it is raining 
POSITIVE,"YAY mah boys won!!!! don't get me wrong, susan's fantastic &amp; adorable, but for sheer breathtaking creative genius nothin beats Diversity! ",YAY mah boys won dont get me wrong susans fantastic amp adorable but for sheer breathtaking creative genius nothin beats Diversity 
NEGATIVE,office desktop's way slower than personal lappie. sigh. n i forgot abt e free cones day ,office desktops way slower than personal lappie sigh n i forgot abt e free cones day 
POSITIVE,It interacts well with FREE WILL. ,It interacts well with FREE WILL 
NEGATIVE,Got my broken camera already.. Now I have to find a store that could fix it.. ,Got my broken camera already Now I have to find a store that could fix it 
POSITIVE,"@fragments77: Anytime Aki, anytime! ", Anytime Aki anytime 
NEGATIVE,@McCripple It turns out that all of those Sophia pages were fake I think... ,McCripple It turns out that all of those Sophia pages were fake I think 
NEGATIVE,"I think i've broken my insides a bit, damn boring sundays where i do nothing but eat all day! ",I think ive broken my insides a bit damn boring sundays where i do nothing but eat all day 
NEGATIVE,@CorbSilverthorn That's what I'm talking bout! Eff the Suxs!!! Cubs all day baby! What part? I lived in Rogers Park. I miss it aweful! ,CorbSilverthorn Thats what Im talking bout Eff the Suxs Cubs all day baby What part I lived in Rogers Park I miss it aweful 
POSITIVE,Is home bitches! ,Is home bitches 
POSITIVE,"Have a good week. May your health increase, your path be clear and happiness settle in all around you.  ",Have a good week May your health increase your path be clear and happiness settle in all around you 
NEGATIVE,"Complainin about how tired I was, now I can't sleep ",Complainin about how tired I was now I cant sleep 
NEGATIVE,Is like *sigh. I freakin love him.....bt I kant spent time w/ him until.....idk.... ,Is like sigh I freakin love himbt I kant spent time w him untilidk 
POSITIVE,"@ForeverYoungRV Thank you   @kikinator seems to love travel, only thing she knows.  Wow, traveling with  a cat and birds!  Awesome!",ForeverYoungRV Thank you kikinator seems to love travel only thing she knows Wow traveling with a cat and birds Awesome
POSITIVE,@mindlesspursuit have some water.  it will help to fill you up. ,mindlesspursuit have some water it will help to fill you up 
NEGATIVE,Blah long boring day. I'm starting to not like jon &amp; kate plus 8 anymore. ,Blah long boring day Im starting to not like jon amp kate plus anymore 
POSITIVE,@xBianca2506x Aww ... that was kinda sweet. Everything's fine. But thank you for your message anyway. , Aww that was kinda sweet Everythings fine But thank you for your message anyway 
POSITIVE,just up  sun soon get my vitamin d in me aha :-j,just up sun soon get my vitamin d in me aha j
NEGATIVE,i wish i cud have chosen a different path ,i wish i cud have chosen a different path 
POSITIVE,@MomSpark wouldn't want to miss anything.  ,MomSpark wouldnt want to miss anything 
POSITIVE,@prinsezha cool. ^^ Having a really good time I hope ,prinsezha cool Having a really good time I hope 
POSITIVE,listening to the roar/hoot/squeal of the traffic &amp; the hum of the air conditioning - colombo is not a quiet place ,listening to the roarhootsqueal of the traffic amp the hum of the air conditioning colombo is not a quiet place 
NEGATIVE,Yay i have a japanese guy following me. thats awesome. I wanna go to japan ,Yay i have a japanese guy following me thats awesome I wanna go to japan 
NEGATIVE,"@redwyne No, not finished yet.Too many people still alive. I see it's on next Sat. but not tonight. ",redwyne No not finished yetToo many people still alive I see its on next Sat but not tonight 
NEGATIVE,Very sad   no new tweets  ,Very sad no new tweets 
NEGATIVE,"@querlvox Being an adult, I am allergic to being too close to campus.. But I'll try. BTW. ms. Laurennmcc doesn't follow me. ",querlvox Being an adult I am allergic to being too close to campus But Ill try BTW ms Laurennmcc doesnt follow me 
POSITIVE,@vonnegurl You crack me up too. Carl did an homage to you on the bases tonight. It was awesome! ,vonnegurl You crack me up too Carl did an homage to you on the bases tonight It was awesome 
POSITIVE,"@ashleytisdale Probably, your new album come out on July [in Japan]. Don't you plan to come to Jpn? ",ashleytisdale Probably your new album come out on July in Japan Dont you plan to come to Jpn 
POSITIVE,Celebrating my 50th birthday by doing exactly the same as I do every other day - working on our websites.  It's just another day.   ,Celebrating my birthday by doing exactly the same as I do every other day working on our websites Its just another day 
NEGATIVE,"@JohnGreenaway YES! I usually have a stockpile of them but I'm all out. Thanks for reminding me, throat been in agony for a week now ",JohnGreenaway YES I usually have a stockpile of them but Im all out Thanks for reminding me throat been in agony for a week now 
NEGATIVE,Chillin w/ kemie watching movies!!!!!!!!!! My manz went on a mission 2night ,Chillin w kemie watching movies My manz went on a mission 
NEGATIVE,Its SOOOOO hot today ,Its SOOOOO hot today 
POSITIVE,@shaundiviney her name was bree ,shaundiviney her name was bree 
NEGATIVE,@AnnMarieRealtor Love it!  It wouldn't work for me. Mom lives three blocks away. ,AnnMarieRealtor Love it It wouldnt work for me Mom lives three blocks away 
POSITIVE,@CRAZi3B3AUTiFUL kay thanks! , kay thanks 
POSITIVE,At Lexy's house with her and Natalie  YAY!!!!!!,At Lexys house with her and Natalie YAY
POSITIVE,changed all 5 strings! Woohooo   It's dramatically glittering!,changed all strings Woohooo Its dramatically glittering
POSITIVE,"my mum is like effin cute, like really really cute. ",my mum is like effin cute like really really cute 
POSITIVE,My bar for the night!  http://twitpic.com/6acco,My bar for the night httptwitpiccom
NEGATIVE,had to walk round a puddle of human wee at the train station today i wish i was @JessicaMaley or @AlexKallai and lived in the countryside ,had to walk round a puddle of human wee at the train station today i wish i was JessicaMaley or AlexKallai and lived in the countryside 
NEGATIVE,"@louiiseeeeee apparently it probably won't becuase of all the 3D effects and everything, so they have to change it all ",louiiseeeeee apparently it probably wont becuase of all the effects and everything so they have to change it all 
NEGATIVE,@businesscrazy  They're getting monopolistic ,businesscrazy Theyre getting monopolistic 
NEGATIVE,wishing @aboos09 was with me right now ,wishing was with me right now 
POSITIVE,Having fun today ,Having fun today 
NEGATIVE,wondering why will hasnt called me all day??? ,wondering why will hasnt called me all day 
POSITIVE,Going to dinner with @marissa_in_cali and here very interesting family? ,Going to dinner with marissaincali and here very interesting family 
POSITIVE,"Busy day at the company here - got a lunchtime &quot;picnic&quot; to help set up/take down. I'm not in charge of it (thank GOD), I'm just a minion. ",Busy day at the company here got a lunchtime quotpicnicquot to help set uptake down Im not in charge of it thank GOD Im just a minion 
NEGATIVE,I miss @vfreshh already ,I miss vfreshh already 
NEGATIVE,i don't know what to tweet about ,i dont know what to tweet about 
POSITIVE,@beautydirtyrich heyyy  jus saw ur tweet &amp;&amp; umm @Ay_Be_Baby replacement girl u say??!? lol,beautydirtyrich heyyy jus saw ur tweet ampamp umm AyBeBaby replacement girl u say lol
POSITIVE,"@massrapid Cute, no?  The way he purses his lips while staring at his sheet music makes me smile. /gush",massrapid Cute no The way he purses his lips while staring at his sheet music makes me smile gush
NEGATIVE,@carolynlhsu greeeeaaaattttt and it's almost time for me to fly again.  not happy,carolynlhsu greeeeaaaattttt and its almost time for me to fly again not happy
POSITIVE,"Soon,I will meet my precious one ",SoonI will meet my precious one 
NEGATIVE,I so miss my Mom and this song is making me cry..    @zaibatsu ï¿½ Mother) ? http://blip.fm/~60fnd s,I so miss my Mom and this song is making me cry zaibatsu ï¿½ Mother httpblipfm s
POSITIVE,"It's a nice Saturday. Ran some errands, ate one of my favorite lunches and now it's back to the apt for some movies. ",Its a nice Saturday Ran some errands ate one of my favorite lunches and now its back to the apt for some movies 
POSITIVE,"Picked up my SDS9 today!  Pretty Good, Pretty Good!",Picked up my today Pretty Good Pretty Good
NEGATIVE,@justads that's fucked ,justads thats fucked 
NEGATIVE,@_supernatural_ http://twitpic.com/8d09f - awwwwwwwwwwwww that is so beautiful. I just need to be in his arms tonight ,supernatural httptwitpiccom awwwwwwwwwwwww that is so beautiful I just need to be in his arms tonight 
NEGATIVE,"I REALLY hate sending out thank you cards,think I'd like it better if the pen didn't smear my writing,damn me for being left handed ",I REALLY hate sending out thank you cardsthink Id like it better if the pen didnt smear my writingdamn me for being left handed 
POSITIVE,A new PSP! So want  http://tinyurl.com/nhxvtg,A new PSP So want httptinyurlcomnhxvtg
POSITIVE,@saaam_ how was it last night? ,saaam how was it last night 
POSITIVE,@KatArmstrong  I agree with @StarFortress I dont honestly know what we would do without your awesomeness being around. ,KatArmstrong I agree with StarFortress I dont honestly know what we would do without your awesomeness being around 
NEGATIVE,I think my elbow is fractured?             ,I think my elbow is fractured 
NEGATIVE,"Morning evwyone! I can't feel my nose,my hand and my feet.. Huaaa huhuhu ",Morning evwyone I cant feel my nosemy hand and my feet Huaaa huhuhu 
POSITIVE,"working on my english essay, studying for exams. it's almost over ",working on my english essay studying for exams its almost over 
POSITIVE,@rickpuig Heck yeah they are ,rickpuig Heck yeah they are 
POSITIVE,"@lunaessence LOL. It is. I've done it three times myself. None of them fun, or fast. Just wishing her an easier time of it. ",lunaessence LOL It is Ive done it three times myself None of them fun or fast Just wishing her an easier time of it 
NEGATIVE,my lips are chapped ,my lips are chapped 
NEGATIVE,Super sad... My pink ring snapped ,Super sad My pink ring snapped 
POSITIVE,@justingrant http://bit.ly/EoVxp   It's all really quite simple.,justingrant httpbitlyEoVxp Its all really quite simple
POSITIVE,&quot;Koogle&quot;... They should have called Joogle ,quotKooglequot They should have called Joogle 
NEGATIVE,Good morning every1   shit weather goin 2 rain 2day  (again) cant wait till saturday,Good morning shit weather goin rain again cant wait till saturday
POSITIVE,"@jilliancyork I'll be trying that out here in the next week as well, since I'll be traveling soon I want to send pics to twitter ",jilliancyork Ill be trying that out here in the next week as well since Ill be traveling soon I want to send pics to twitter 
POSITIVE,@melaniehallcc I think that would go very much against what the Bible teaches ,melaniehallcc I think that would go very much against what the Bible teaches 
NEGATIVE,@sixbarphrase I can't wait to see you tonight. Bring me my flannel and HTL hoodie? ,sixbarphrase I cant wait to see you tonight Bring me my flannel and HTL hoodie 
NEGATIVE,All my friends are in different area codes and time zones ,All my friends are in different area codes and time zones 
NEGATIVE,@bymelissa: How are you going to get it done? Getting it done while  fully conscious and numbed up isn't that fun. ,bymelissa How are you going to get it done Getting it done while fully conscious and numbed up isnt that fun 
POSITIVE,@xsamannntha uhhh jeremy at the time lol you knoww  and i kinda figured out how to do this now but its still wieeeerd. hangout soon.,xsamannntha uhhh jeremy at the time lol you knoww and i kinda figured out how to do this now but its still wieeeerd hangout soon
POSITIVE,@jeremygonis Haha. He didn't mean to. He kissed it to make it feel better though.  he's so cute.,jeremygonis Haha He didnt mean to He kissed it to make it feel better though hes so cute
POSITIVE,@loungekat Gotta love it when you get the train as the doors close behind you ,loungekat Gotta love it when you get the train as the doors close behind you 
NEGATIVE,@tareq_cse i learnt it several times &amp; after few days I forget.  I tried Cpp,tareqcse i learnt it several times amp after few days I forget I tried Cpp
NEGATIVE,the loudest fire alarm known to man has to be in my apartment....and it would not go off during the storm  I have lost my hearing!!,the loudest fire alarm known to man has to be in my apartmentand it would not go off during the storm I have lost my hearing
NEGATIVE,"@JoshKard0 Awh, that sucks. Hope nothing too valuable was in it. Well, usually worthless things are invaluable, but you know what I mean. ", Awh that sucks Hope nothing too valuable was in it Well usually worthless things are invaluable but you know what I mean 
NEGATIVE,Went to the bathhouse and realized I am majorly sunburned!! This blows!! No wonder I hurt everywhere!! ,Went to the bathhouse and realized I am majorly sunburned This blows No wonder I hurt everywhere 
NEGATIVE,"I can't say I'm sorry, you know I am, have a goodnight, and if I don't talk to you just know I still love you. ",I cant say Im sorry you know I am have a goodnight and if I dont talk to you just know I still love you 
NEGATIVE,I need fooooood.  ,I need fooooood 
NEGATIVE,Day Two:  I have no followers   Gotta brush up on my oneliners!,Day Two I have no followers Gotta brush up on my oneliners
NEGATIVE,Going on a memorial ride tomorrow RIP Steve  he was one of the healthiest guys I knew and died in a week from pneumonia....,Going on a memorial ride tomorrow RIP Steve he was one of the healthiest guys I knew and died in a week from pneumonia
NEGATIVE,@mehulved Even the most recent photograph of me was clicked when I was in 12th standard. I really don't have my own photograph ,mehulved Even the most recent photograph of me was clicked when I was in standard I really dont have my own photograph 
NEGATIVE,@aianna21 MSN keeps failing on me! I'm sending you messages and it's clearly not delivering them. FAIL! , MSN keeps failing on me Im sending you messages and its clearly not delivering them FAIL 
POSITIVE,booked europe tickets today. Cant wait!! ,booked europe tickets today Cant wait 
POSITIVE,@officialnjonas the 3d-moviee is selling out so fasst here! come in january yeah? ,officialnjonas the moviee is selling out so fasst here come in january yeah 
NEGATIVE,has to concentrate on her finals and stop exploring twitter. ,has to concentrate on her finals and stop exploring twitter 
POSITIVE,@LaurenStamer please follow me ,LaurenStamer please follow me 
POSITIVE,G'day milcom_! Now you know how to greet people in Australian!  This is the Greeting on Flickr.com ,Gday milcom Now you know how to greet people in Australian This is the Greeting on Flickrcom 
POSITIVE,watching the tony awards nominations concert..i'm so in love w/ constantine maroulis  he did amazing.,watching the tony awards nominations concertim so in love w constantine maroulis he did amazing
POSITIVE,@MelissaEGilbert You take all this time to answer peeps and then they complain and correct you...thanks for being patient  Not easy?,MelissaEGilbert You take all this time to answer peeps and then they complain and correct youthanks for being patient Not easy
NEGATIVE,@thisisryanross I'm sick too ,thisisryanross Im sick too 
